,Keywords,title,year,
77,Twitter ElectionForecasts Elections InformationMarket Microblogging Politics PredictionMarkets SentimentAnalysis,Election Forecasts With Twitter: How 140 Characters Reflect the Political Landscape,2011,
78,SocialMediaAnalytics SocialNetworks Twitter,Do All Birds Tweet the Same?: Characterizing Twitter Around the World,2011,
79,FeatureInterpolation SemanticConcepts SentimentAnalysis,Semantic Sentiment Analysis of Twitter,2012,
83,Twitter TopicDetectionAndTracking Real-TimeText-Mining InformationRetrieval,Breaking News Detection and Tracking in Twitter,2010,
84,Ensembles LogisticRegression OnlineLearning StochasticGradientDescent,Large-scale Machine Learning at Twitter,2012,
85,SocialNetworks Twitter TriadicClosure,Structural Predictors of Tie Formation in Twitter: Transitivity and Mutuality,2010,
86,CollaborativeFiltering LatentFactorModels RecommenderSystems Twitter,Co-factorization Machines: Modeling User Interests and Predicting Individual Decisions in Twitter,2013,
87,Enterprise Facebook Linkedin SocialNetworking Twitter,"A Longitudinal Study of Facebook, LinkedIn, &#38; Twitter Use",2012,
88,Influentials InformationDiffusion Ranking SocialNetworks Twitter,Finding Influentials Based on the Temporal Order of Information Adoption in Twitter,2010,
90,CollectiveIntelligence DecisionMaking KnowledgeBase Memetics Microblogging TrendAnalysis Twitter,Integrating Web-based Intelligence Retrieval and Decision-making from the Twitter Trends Knowledge Base,2009,
91,GraphicalModel PredictionAndRecommendation Spatio-Temporal Twitter UserProfiling,"Who, Where, when and What: Discover Spatio-temporal Topics for Twitter Users",2013,
92,Comparisons RankingMechanisms Thumb-BasedRanking,Ranking Mechanisms in Twitter-like Forums,2010,
94,Real-TimeQueryProcessing StreamDataManagement,Storm@Twitter,2014,
95,Twitter Bibliometrics Citation ScholarlyCommunication SocialMedia,How and Why Scholars Cite on Twitter,2010,
97,EventDetection SocialMediaAnalytics Twitter,Geo-spatial Event Detection in the Twitter Stream,2013,
100,Twitter EventDetection FutureTense Geotagging TenseIdentification,Identification of Live News Events Using Twitter,2011,
101,Conservative Journalism Liberal News Politics Twitter,Computing Political Preference Among Twitter Followers,2011,
102,Twitter Interestingness Microblog Retweet SentimentAnalysis TopicModeling,Bad News Travel Fast: A Content-based Analysis of Interestingness on Twitter,2011,
103,Adaptation FacetedSearch SemanticEnrichment Twitter,Leveraging the Semantics of Tweets for Adaptive Faceted Search on Twitter,2011,
104,EventDetection LocalizedEvents OnlineApproach,EvenTweet: Online Localized Event Detection from Twitter,2013,
105,SocialMedia SocialNetworks TieBreaks Twitter,The Impact of Network Structure on Breaking Ties in Online Social Networks: Unfollowing on Twitter,2011,
109,Health Insomnia MentalHealth Microblogging Self-Disclosure Twitter,I Can'T Get No Sleep: Discussing #Insomnia on Twitter,2012,
110,Cold-StartProblem CollaborativeFiltering LatentUserModels MobileApps RecommenderSystems Twitter,Addressing Cold-start in App Recommendation: Latent User Models Constructed from Twitter Followers,2013,
111,InformationControl MumbaiTerroristAttack SituationAwareness Twitter,Information Control and Terrorism: Tracking the Mumbai Terrorist Attack Through Twitter,2011,
112,Conversation Messaging Regrets Survey Twitter,I Read My Twitter the Next Morning and Was Astonished: A Conversational Perspective on Twitter Regrets,2013,
