,Keywords,title,year,
293,OpinionMining Pagerank PolarityClassification Sentiwordnet SentimentAnalysis Twitter UnsupervisedMethod,Ranked WordNet Graph for Sentiment Polarity Classification in Twitter,2014,
295,Twitter RetweetBehavior SocialMedia,Analyzing User Retweet Behavior on Twitter,2012,
296,SouthKorea Twitter Web1.0 Web2.0 Blog NetworkAnalysis Politician,"Sociology of Hyperlink Networks of Web 1.0, Web 2.0, and Twitter: A Case Study of South Korea",2011,
297,OpinionLeadership PoliticalDiscussion PoliticalParticipation Twitter UsesAndGratifications,"Does Twitter Motivate Involvement in Politics? Tweeting, Opinion Leadership, and Political Engagement",2013,
299,CollaborativeLearning Microblogging SocialNetworkAnalysis SocialNetworking,Who Students Interact with? A Social Network Analysis Perspective on the Use of Twitter in Language Learning,2010,
300,RecencyRanking Twitter TweetRanking,Improving Recency Ranking Using Twitter Data,2013,
301,Self-Disclosure Twitter LinguisticMarkers SocialNetworkSites,Linguistic Markers of Secrets and Sensitive Self-Disclosure in Twitter,2012,
302,EventDetection EventVisualization SocialMedia,An Interactive Interface for Visualizing Events on Twitter,2014,
303,Twitter Hits SocialNetwork TweetRanking,Finding Interesting Posts in Twitter Based on Retweet Graph Analysis,2012,
304,ApplicationForSocialNetwork Color-BasedFeatures LanguageIndependent SocialNetwork,Language Independent Gender Classification on Twitter,2013,
305,PropagationAnalysis Retweeter Twitter,Who Will Retweet Me?: Finding Retweeters in Twitter,2013,
307,Government Innovative PolicyPromotion SemanticNetworkAnalysis Twitter,"Government Organizations' Innovative Use of the Internet: The Case of the Twitter Activity of South Korea's Ministry for Food, Agriculture, Forestry and Fisheries",2012,
308,CrisisManagement DisasterManagement SituationAwareness SocialMedia,A Sensitive Twitter Earthquake Detector,2013,
309,SentimentAnalysis OpinionMining SocialMediaAnalytics TextMining MachineLearning,Twitter Sentiment Analysis: A Bootstrap Ensemble Framework,2013,
311,SentimentAnalysis SentimentSummarization OpinionMining,Sentiment Analysis and Summarization of Twitter Data,2013,
313,OnlineParticipation Twitter DigitalScholarship HigherEducation OnlineSocialNetworks SocialNetworkingSites,Higher Education Scholars' Participation and Practices on Twitter,2012,
314,DirichletProcess Timeline Twitter,Timeline Generation: Tracking Individuals on Twitter,2014,
315,EventDetection QueryExpansion SemanticWeb Twitter,Event Detection Using Twitter and Structured Semantic Query Expansion,2012,
316,Groups OnlineCommunities PeriodicTimeSeries,Group Chats on Twitter,2013,
317,Query-BiasedLearningToRank Real-TimeTwitterSearch Semi-SupervisedLearning,Query-biased Learning to Rank for Real-time Twitter Search,2012,
318,RumorSpreading Agent-BasedModeling SocialNetwork,Rumor Propagation in Online Social Networks Like Twitter -- A Simulation Study,2011,
319,Monitoring Twitter MotionPictures Databases Fans Blogs BiomedicalMonitoring Twitter EvolutionMonitoring UserMonitoring,Monitoring User Evolution in Twitter,2012,
320,Ecuador LatinAmerica Paraguay Twitter Venezuela ElectionPrediction Prediction,Leveraging Candidate Popularity on Twitter to Predict Election Outcome,2013,
321,Three-WayClustering TwitterHyperlinkRecommendation,Twitter Hyperlink Recommendation with User-tweet-hyperlink Three-way Clustering,2012,
322,Communication Culture SocialMedia,"Twitter Ain'T Without Frontiers: Economic, Social, and Cultural Boundaries in International Communication",2014,
323,DataMining GraphStructure SocialNetworks Twitter,Studying Social Networks at Scale: Macroscopic Anatomy of the Twitter Social Graph,2014,
324,DataMining GraphStructure SocialNetworks Twitter,Studying Social Networks at Scale: Macroscopic Anatomy of the Twitter Social Graph,2014,
325,Conferences ScientificCommunities Twitter,How Groups of People Interact with Each Other on Twitter During Academic Conferences,2014,
326,HealthImprovement PersuasiveTechnology,Twitter Me: Using Micro-blogging to Motivate Teenagers to Exercise,2010,
327,InterestingContent Lda SocialMedia TopicModel Twitter,Identifying Interesting Twitter Contents Using Topical Analysis,2014,
329,Large-ScaleDataCollection Microblogs PublicBeliefAnalysis,Belief Surveillance with Twitter,2012,
331,CollaborativeFiltering Context-AwareRecommendation MatrixFactorization Mood-SpecificMovieSimilarity RecommenderSystems,Mining Contextual Movie Similarity with Matrix Factorization for Context-aware Recommendation,2013,
332,Twitter OnlineSocialNetworks(OSNs) Spam,Twitter Games: How Successful Spammers Pick Targets,2012,
333,Crowdsourcing SocialNetworks Twitter,Tweetflows: Flexible Workflows with Twitter,2011,
334,Credibility Trust SocialNetworks Twitter,Understanding Information Credibility on Twitter,2013,
335,ElectronicGovernment Internet NetworkEffects PoliticalCommunication PoliticalMarketing SocialMedia,Does the Early Bird Move the Polls?: The Use of the Social Media Tool 'Twitter' by U.S. Politicians and Its Impact on Public Opinion,2011,
336,LocationEstimation Microblog TextMining,Inferring Twitter User Locations with 10 Km Accuracy,2014,
337,CollaborativeFiltering OnlineRanking Twitter,What is Happening Right Now ... That Interests Me?: Online Topic Discovery and Recommendation in Twitter,2012,
338,EgoNetworks OnlineSocialNetworks PersonalSocialRelationships,Dynamics of Personal Social Relationships in Online Social Networks: A Study on Twitter,2013,
340,EmergencyDetection NaturalLanguageProcessing SocialNetworkAnalysis,Detection and Extracting of Emergency Knowledge from Twitter Streams,2012,
341,VisualNetworkAnalysis SocialNetworkAnalysis InformationVisualization Twitter Conference Co-Organization,Visual Network Analysis of Twitter Data for Co-organizing Conferences: Case CMAD 2013,2014,
342,KnowledgeManagement Twitter Co-Organization Conference InformationVisualization KnowledgeTransfer Microblogging,Information Visualization of Twitter Data for Co-organizing Conferences,2013,
343,Twitter MicroBlog PhysicalActivity SocialNetworks Technology-MediatedSocialParticipation,Descriptive Analysis of Physical Activity Conversations on Twitter,2011,
344,AccountHijacking Compromise SocialNetworks,Consequences of Connectivity: Characterizing Account Hijacking on Twitter,2014,
345,Twitter Wikipedia SocialNetworks UserInterest,Interest Classification of Twitter Users Using Wikipedia,2013,
346,LabeledLda Lists Twitter UserInterests,Inferring User Interests in the Twitter Social Network,2014,
348,Twitter ReplyBehavior ReplyPrediction SocialMediaCommunication,The Utility of Social and Topical Factors in Anticipating Repliers in Twitter Conversations,2013,
349,SocialNetworks Timeline Twitter,Understanding Factors That Affect Response Rates in Twitter,2012,
350,Summarization TwitterContextTree UserInfluenceModel,Towards Twitter Context Summarization with User Influence Models,2013,
351,BondingOnlineSocialCapital BridgingOnlineSocialCapital Followees Followers Twitter,Perceived Bridging and Bonding Social Capital on Twitter: Differentiating Between Followers and Followees,2013,
353,Geolocation SentimentAnalysis SocialMedia Twitter,"Mirroring the Real World in Social Media: Twitter, Geolocation, and Sentiment Analysis",2013,
354,Congress Legislation Pipa Sopa Twitter,I'D Have to Vote Against You: Issue Campaigning via Twitter,2013,
355,AutomatedClassification Congress PoliticalCommunication SocialMedia Twitter,What's Congress Doing on Twitter?,2013,
356,Crf Fs-Ner NamedEntityRecognition Twitter,FS-NER: A Lightweight Filter-stream Approach to Named Entity Recognition on Twitter Data,2013,
357,Cross-Language InformationDiffusion InformationDiscovery Micro-Blogs Multilingual SocialMedia SocialNetworkAnalysis,Global Connectivity and Multilinguals in the Twitter Network,2014,
358,Clustering TopicModel Twitter UnsupervisedLearning,Dynamic Multi-faceted Topic Discovery in Twitter,2013,
359,SocialNetworkAnalysis Twitter SuspiciousProfiles SupportVectorMachine Aggressiveness Visibility LevelOfDanger,SPOT 1.0: Scoring Suspicious Profiles on Twitter,2011,
361,DegreeDistribution DegreeOfSeparation Diameter Reciprocity SocialNetworkAnalysis Twitter,How Social Network is Evolving?: A Preliminary Study on Billion-scale Twitter Network,2013,
362,Twitter BehaviorModeling EventDetection InformationPropagation OriginatingBehavior PromotingBehavior Retweet WeakRetweet,"Who is Retweeting the Tweeters? Modeling, Originating, and Promoting Behaviors in the Twitter Network",2012,
363,3dPrinting Accessibility CrisisInformatics Education Fabrication Programming VisualImpairments,"Tracking @Stemxcomet: Teaching Programming to Blind Students via 3D Printing, Crisis Management, and Twitter",2014,
364,AudienceAnalysis Twitter VideoRecommendation Youtube,Who Watches (and Shares) What on Youtube? And when?: Using Twitter to Understand Youtube Viewership,2014,
365,Twitter WestNileVirus SocialNetwork,Real-time Spatio-temporal Analysis of West Nile Virus Using Twitter Data,2012,
367,DataMining MachineLearning Regression Twitter,Validating Models for Disease Detection Using Twitter,2013,
368,CommunityStartup CriticalMass NaturalLanguageAnalysis OnlineCommunities SocialNetworkingSites TopicalFocus,Twitter and the Development of an Audience: Those Who Stay on Topic Thrive!,2012,
369,RoutingAlgorithm SocialNetwork SocialQuery Twitter,Predicting Potential Responders in Twitter: A Query Routing Algorithm,2012,
370,InformationSystems Keywords:E-Commerce KnowledgeDiscovery SentimentAnalysis TopicModels VirtualCommunities,What is the Conversation About?: A Topic-Model-Based Approach for Analyzing Customer Sentiments in Twitter,2012,
371,Color-BasedFeatures ProfileCharacteristics PhonemesAsFeatures ColorQuantization SocialNetworks LanguageIndependence,Empirical Evaluation of Profile Characteristics for Gender Classification on Twitter,2013,
372,AffiliativeTendency CommunicationCompetence SocialEnhancement Twitter,How Social is Twitter Use? Affiliative Tendency and Communication Competence As Predictors,2014,
373,Twitter DiaryStudy Resilience,Cognitive Resilience: Can We Use Twitter to Make Strategies More Tangible?,2012,
374,AcademicConferences Interactions Retention Twitter Usage,"Twitter in Academic Conferences: Usage, Networking and Participation over Time",2014,
376,E-Participation MachineLearning SemanticAnalysis SemanticPatterns SemanticSearch SocialNetworkAnalysis TrendAnalysis TwitterMining,Extracting Semantic Knowledge from Twitter,2011,
378,CommercialIntent KnowledgeAcquisition Twitter,Towards Linking Buyers and Sellers: Detecting Commercial Intent on Twitter,2013,
379,GraphMining OnlineInteractions SocialNetwork,Reconstruction and Analysis of Twitter Conversation Graphs,2012,
380,SentimentAnalysis AffectiveLexicon Twitter,Twitter for Sentiment Analysis: When Language Resources Are Not Available,2011,
382,NokiaInternetPulse Sentiment Twitter Visualization,Nokia Internet Pulse: A Long Term Deployment and Iteration of a Twitter Visualization,2012,
383,Hadoop MachineLearning TopicModeling Twitter,Detecting Offensive Tweets via Topical Feature Discovery over a Large Scale Twitter Corpus,2012,
384,Cross-MediaAnalysis SocialNetworkAnalysis Twitter,Cross-media Impact on Twitter in Japan,2010,
385,AnomalyDetection MachineLearning SpamDetection Twitter,Detecting Social Spam Campaigns on Twitter,2012,
386,Lda InformationRecommendation Twitter,Developing a User Recommendation Engine on Twitter Using Estimated Latent Topics,2011,
387,ConversationAnalysis CoordinatedBehavior DisasterResponse InformationFiltering Twitter,What Kind of #Conversation is Twitter? Mining #Psycholinguistic Cues for Emergency Coordination,2013,
388,Twitter Geocoding Traffic,Traffic Observatory: A System to Detect and Locate Traffic Events and Conditions Using Twitter,2012,
389,Altmetrics DisciplinaryDifferences ScholarlyCommunication Twitter Webometrics,Disciplinary Differences in Twitter Scholarly Communication,2014,
390,Cancer DiseaseDetection DiseaseSurveillance Epidemics Influenza PublicHealth SocialMedia Twitter,Real-time Disease Surveillance Using Twitter Data: Demonstration on Flu and Cancer,2013,
392,BoxOffice Twitter Forecasting SentimentIndex StockMarket,Forecasting with Twitter Data,2014,
393,ComputationalLinguistics Filtering Twitter,The Twitter Mute Button: A Web Filtering Challenge,2012,
394,Crowdsourcing GamesWithAPurpose Human-Computation Microblogs SocialInformationFiltering,Twiage: A Game for Finding Good Advice on Twitter,2012,
396,SocialMedia Twitter YouTube,"Cyberactivism Through Social Media: Twitter, YouTube, and the Mexican Political Movement I'M Number 132",2013,
397,Twitter Sns Mobile Discontinuance Continuance UsesAndGratifications Ug DiffusionOfInnovation Idt Pls,Twitter Users vs. Quitters: A Uses and Gratifications and Diffusion of Innovations Approach in Understanding the Role of Mobility in Microblogging,2010,
398,PortugueseLanguage SentimentAnalysis Twitter,Sentiment Analysis on Twitter Data for Portuguese Language,2012,
399,Twitter SocialNetworks CommunityDetection,Tweets Beget Propinquity: Detecting Highly Interactive Communities on Twitter Using Tweeting Links,2012,
400,Hashtags Semantics SocialStructure Twitter,Meaning As Collective Use: Predicting Semantic Hashtag Categories on Twitter,2013,
401,TagRecommendation Twitter Wikipedia,Exploiting Twitter and Wikipedia for the Annotation of Event Images,2014,
402,CampaignPromoter MarkovRandomFields,Detecting Campaign Promoters on Twitter Using Markov Random Fields,2014,
403,InformationDiscovery KnowledgeDiscovery LinguisticAnalysis,Sentiment Analysis of Twitter Audiences: Measuring the Positive or Negative Influence of Popular Twitterers,2012,
404,HierarchicalClassification SentimentAndEmotionsClassification Twitter,Hierarchical Classification Approach to Emotion Recognition in Twitter,2012,
406,Micro-BlogMining Patient'sLanguageLearning SyndromicSurveillance TerminologyClustering TwitterMining,Twitter Mining for Fine-grained Syndromic Surveillance,2014,
407,Newsgathering Scoop SocialMedia Trends User-Interface,Curating and Contextualizing Twitter Stories to Assist with Social Newsgathering,2013,
409,CrowdBehavior Location-BasedSocialNetworkSites UrbanLifeMonitoring,Crowd-sourced Urban Life Monitoring: Urban Area Characterization Based Crowd Behavioral Patterns from Twitter,2012,
410,Multilingualism SocialMedia Sociolinguistics TopicModeling,Sociolinguistic Analysis of Twitter in Multilingual Societies,2014,
411,CollaborativePersonalizedSearch LanguageModeling TopicModeling Twitter,Collaborative Personalized Twitter Search with Topic-language Models,2014,
412,DisasterResponse Earthquake MicroBlogging Twitter,Use Trend Analysis of Twitter After the Great East Japan Earthquake,2012,
413,ExpertFinding LocalExpert SocialTagging Twitter,Finding Local Experts on Twitter,2014,
414,CharacteristicCo-OccurrenceWord Clustering Hashtags NewsTopic SocialMedia Tweet Twitter,News-Topic Oriented Hashtag Recommendation in Twitter Based on Characteristic Co-occurrence Word Detection,2012,
417,Twitter Classification EventDetection Microblogging Semi-AutomaticTraining,Social Event Detection on Twitter,2012,
418,BurstDetection DynamicTemporalMap TopicAssociation Twitter,Detecting Dynamic Association Among Twitter Topics,2012,
419,InformationCascades InformationDiffusion Visualizations,RApID: A System for Real-time Analysis of Information Diffusion in Twitter,2014,
420,Earthquake InformationDiffusion InformationSharings SocialNetworks Twitter,Information Sharing on Twitter During the 2011 Catastrophic Earthquake,2013,
422,SocialMedia Twitter EarlyTsunamiWarningSystem Indonesia DisasterManagementAgencies,Twitter Early Tsunami Warning System: A Case Study in Indonesia's Natural Disaster Management,2013,
425,Crowdsourcing Lists TopicInference Twitter WhoIsWho,Inferring Who-is-who in the Twitter Social Network,2012,
427,Twitter Elections PoliticalCampaigning Pakistan Vote,My Name Is Khan: The Use of Twitter in the Campaign for 2013 Pakistan General Election,2014,
428,CommunityDetection GraphMining SocialNetworks Twitter,Following the Follower: Detecting Communities with Common Interests on Twitter,2012,
429,Emoticons OpinionMining ProductReview SentimentAnalysis SentimentLexicon TopicModeling Twitter,Twitter Opinion Topic Model: Extracting Product Opinions from Tweets by Leveraging Hashtags and Sentiment Lexicon,2014,
431,Subjectivity SocialFeatures Twitter,What Do the Average Twitterers Say: A Twitter Model for Public Opinion Analysis in the Face of Major Political Events,2011,
432,AndyCarvin ArabSpring Twitter Gatekeeping Journalism Sourcing,Sourcing the Arab Spring: A Case Study of Andy Carvin's Sources on Twitter During the Tunisian and Egyptian Revolutions,2014,
433,EventCredibility EventDetection EventTimespanComputation EventTypePrediction LocationPrediction Microblogs SocialMediaAnalyticsPlatform Twitter WwwTutorial,Towards a Social Media Analytics Platform: Event Detection and User Profiling for Twitter,2014,
434,Twitter Bundestagswahl2009 Entropy Gatekeepers NetworkAnalysis PoliticalCommunication,Small Worlds with a Difference: New Gatekeepers and the Filtering of Political Information on Twitter,2011,
435,SocialMediaAnalytics DataMining BigData,A Fuzzy Logic Approach for Opinion Mining on Large Scale Twitter Data,2014,
436,Twitter Correlation Prediction Stock,Correlating S&#38 P 500 Stocks with Twitter Data,2012,
438,Mapreduce OpinionMining SocialNetworks Twitter,Towards Building Large-scale Distributed Systems for Twitter Sentiment Analysis,2012,
439,Twitter Crawling Data-Mining SocialAnalysis SuperBowl2012,Automated Twitter Data Collecting Tool for Data Mining in Social Network,2012,
440,Microblogging EventDetection BurstDetection,Live Semantic Sport Highlight Detection Based on Analyzing Tweets of Twitter,2012,
441,Twitter InformationAmplification RealTimeRank Influence,"IARank: Ranking Users on Twitter in Near Real-Time, Based on Their Information Amplification Potential",2012,
442,<b>T</b>witter CrossCulturalAspects InternationalAspects NewsMedia Topics,Trending Twitter Topics in English: An International Comparison,2012,
443,Filtering NameDisambiguation OnlineReputationManagement Twitter,Discovering Filter Keywords for Company Name Disambiguation in Twitter,2013,
444,SentimentAnalysis SocialMedia Twitter SurveyResearch Nigeria,"Twitter, Public Opinion, and the 2011 Nigerian Presidential Election",2013,
445,DiscussionRetrieval EventData SocialMedia,Real Time Discussion Retrieval from Twitter,2013,
446,Accessibility Blind ScreenReader SocialNetwork Usability Web2.0,Web 2.0: Twitter and the Blind,2011,
447,Tourism SentimentMining Som Twitter SocialNetworks SemanticWeb TextMining,Thailand -- Tourism and Conflict: Modeling Sentiment from Twitter Tweets Using Na\{\i}Ve Bayes and Unsupervised Artificial Neural Nets,2010,
450,Twitter InformationDiffusion TrendPrediction,On Predicting Twitter Trend: Factors and Models,2013,
451,CivicEngagement Elections PoliticalDiscourse SocialMedia Twitter,Tweet Recall: Examining Real-time Civic Discourse on Twitter,2012,
452,SocialAndBehavioralSciences SocialNetworks Twitter,A Sentiment Analysis of Audiences on Twitter: Who is the Positive or Negative Audience of Popular Twitterers?,2011,
454,Classification ComputerScience SocialNetwork Twitter,Identifying and Analyzing Researchers on Twitter,2014,
455,TwitterStreamAnalysis AnomalyDetection BinaryClassification SpamAndOff-TopicContentDetection,Topical Anomaly Detection from Twitter Stream,2012,
456,Hashtag HashtagAnnotation TopicModel Twitter,Tagging Your Tweets: A Probabilistic Modeling of Hashtag Annotation in Twitter,2014,
457,Crowdsourcing ExpertFinding LocalExpert SocialTagging Twitter,Who is the Barbecue King of Texas?: A Geo-spatial Approach to Finding Local Experts on Twitter,2014,
458,DataMining SemanticAnalysis SocialNetwork SoftwareArchitecture Tweet,"A Software Architecture for Twitter Collection, Search and Geolocation Services",2013,
459,SocialMedia UserProfiling Classification,Religious Politicians and Creative Photographers: Automatic User Categorization in Twitter,2013,
461,Twitter Usda Collaboration OpenGovernmentInitiative Participation SocialMedia,"Transparency, Participation, Cooperation: A Case Study Evaluating Twitter As a Social Media Interaction Tool in the US Open Government Initiative",2012,
462,Twitter CommunitiesOfPractice InformalLearning Learning MemoryAids SocialNetworkAnalysis,Visualizing Informal Learning Behavior from Conference Participants Twitter Data,2014,
463,Dtn Application Development SocialNetworking Twitter,An Implementation for Accessing Twitter Across Challenged Networks,2011,
464,Inference PrivacyLeak Twitter UrlShorteningService,I Know the Shortened URLs You Clicked on Twitter: Inference Attack Using Public Click Analytics and Twitter Metadata,2013,
465,Imdb Youtube Dataset Goodreads Mining Pandora Twitter,Mining Cross-domain Rating Datasets from Structured Data on Twitter,2014,
466,Actor-OrientedModeling(siena) SnowballSampling TieDissolution Twitter UnfollowRelations,Structures of Broken Ties: Exploring Unfollow Behavior on Twitter,2013,
467,InternetOfThings PervasiveComputing WebOfThings,Thing Broker: A Twitter for Things,2013,
468,SemisupervisedLearning ModelCombination TweetNormalization,Named Entity Recognition for Tweets,2013,
469,MoodAnalysis RegressionOnTweets TwitterUserMoodPrediction,Twitter User Behavior Understanding with Mood Transition Prediction,2012,
470,Internet Behavior GubernatorialElection PoliticalParticipation SocialMedia Twitter Voting,Who Tweets About Politics?: Political Participation of Twitter Users During the 2011Gubernatorial Elections,2013,
471,SemanticPatterns SentimentAnalysis Twitter,Semantic Patterns for Sentiment Analysis of Twitter,2014,
472,NamedEntities NounPhrases SocialMedia Twitter,Community-based Classification of Noun Phrases in Twitter,2012,
473,ConversationRetrieval Twitter,Conversation Retrieval from Twitter,2011,
474,Seiz Sis EpidemiologicalModeling RumorDetection,Epidemiological Modeling of News and Rumors on Twitter,2013,
475,Diversification DuplicateDetection Search Twitter,Groundhog Day: Near-duplicate Detection on Twitter,2013,
476,Databases Discovering GeographicInformationRetrieval PlacesOfInterest SocialMedia,Discovering and Characterizing Places of Interest Using Flickr and Twitter,2013,
477,Twitter EpidemicsDetection EpidemicsDistribution EpidemicsSpread HealthInformationVisualization SocialNetwork,Epidemic Outbreak and Spread Detection System Based on Twitter Data,2012,
478,CognitiveInformatics ComplexContagion InformationDiffusion QuantumCognition SocialComputing SocialInfluence Twitter,Modeling Indirect Influence on Twitter,2012,
479,LinkClassification Micro-Blogging SocialNetwork,Why You Follow: A Classification Scheme for Twitter Follow Links,2014,
480,Experimentation HumanFactors Migration SelectionBias Twitter,Inferring International and Internal Migration Patterns from Twitter Data,2014,
481,RecommenderSystems CollaborativeFiltering GraphTheory HybridRecommenders RandomWalk SocialNetworks UserCoverage,"An Empirical Comparison of Social, Collaborative Filtering, and Hybrid Recommenders",2013,
482,SentimentAnalysis OpinionMining TwitterSentimentAnalysis Aspect-BasedSentimentAnalysis,Aspect-Based Twitter Sentiment Classification,2013,
483,SentimentAnalysis InfluenceAnalysis Twitter,Learning Sentimental Influence in Twitter,2011,
484,Bonding Bridging SocialCapital Twitter Follow-Backs Homophily Affinities,Bonding vs. Bridging Social Capital: A Case Study in Twitter,2010,
485,NamedEntityRecognition SocialNetworks NetworkAnalysis MultiplexSocialNetwork,Towards Named Entity Recognition Method for Microtexts in Online Social Networks: A Case Study of Twitter,2011,
486,CitizenJournalism Labor ProtestMobilization Twitter WisconsinProtests,"Time, Place, Technology: Twitter As an Information Source in the Wisconsin Labor Protests",2014,
487,SocialNetworkServices Twitter PhysicalActivity Running InformationRetrieval DataAnalysis,Characterizing the Performance and Behaviors of Runners Using Twitter,2013,
488,CrowdKnowledge SocialSensor Twitter,Can Twitter Be an Alternative of Real-world Sensors?,2011,
489,SocialMedia ConditionalRandomFields EventExtraction EntityResolution,Extraction and Compilation of Events and Sub-events from Twitter,2012,
490,EventDetection SentimentAnalysis Summarization,"Brand-Related Events Detection, Classification and Summarization on Twitter",2012,
492,NationalityInference Qatar Twitter UserClassification,Inferring Nationalities of Twitter Users and Studying Inter-national Linking,2014,
493,CommunityDetection SocialNetworks Twitter,iTop: Interaction Based Topic Centric Community Discovery on Twitter,2012,
494,Twitter BusinessIntelligence InformationExtraction,Understanding the Functions of Business Accounts on Twitter,2011,
495,DigitalEpidemiology RemoteDiagnosis Twitter Validation,On the Ground Validation of Online Diagnosis with Twitter and Medical Records,2014,
496,Twitter Classification PoliticalDisaffection SentimentAnalysis,Modelling Political Disaffection from Twitter Data,2013,
497,QueryExpansion SocialMedia TwitterHashtags SemanticNetwork,Socio-semantic Query Expansion Using Twitter Hashtags,2012,
499,CommunityDetection CrisisEvents OnlineSocialMedia,Identifying and Characterizing User Communities on Twitter During Crisis Events,2012,
500,Twitter Analytics Celebrity SocialMedia SocialMediaAnalytics,Exploring Celebrity Dynamics on Twitter,2013,
501,Twitter BehaviorAnalysis SocialMedia SocialNetworkAnalysis,A Study on Twitter User-follower Network: A Network Based Analysis,2013,
502,LearningToRank RecommenderSystems Twitter UserEngagement,Predicting User Engagement in Twitter with Collaborative Ranking,2014,
503,Crowdsourcing Tweet,A Transfer Learning Based Framework of Crowd-selection on Twitter,2013,
504,SocialMedia Twitter TextClassification SemanticRoleLabelling MachineLearning,Detecting Life Events in Feeds from Twitter,2013,
505,SentimentAnalysis TimeSeries Twitter Elections Polarity HashTags Topics,2012 Presidential Elections on Twitter -- An Analysis of How the US and French Election Were Reflected in Tweets,2013,
506,SocialNetworks InformationDiffusion InformationPropagation Twitter,"Information Diffusion on Twitter: Everyone Has Its Chance, But All Chances Are Not Equal",2013,
507,Twitter Tv-Program SceneLabeling Microblogging,Social Indexing of TV Programs: Detection and Labeling of Significant TV Scenes by Twitter Analysis,2012,
508,EnergyFunction LifeActivityModeling NewsEventDetection Single-PassClustering Twitter,Life Activity Modeling of News Event on Twitter Using Energy Function,2012,
510,Advertising Classification Crowdsourcing MachineLearning Marketing,Automatic Crowdsourcing-Based Classification of Marketing Messaging on Twitter,2013,
511,Dns Email MultiplePlatformSpam Spam Twitter,Observing Common Spam in Twitter and Email,2012,
512,AffectiveInteractionalPrototypeDevelopment EmotionSensing OfflineInteraction,Reactions: Twitter Based Mobile Application for Awareness of Friends' Emotions,2012,
513,ContentCuration SocialMedia SocialNetworkAnalysis,Aggregating Content and Network Information to Curate Twitter User Lists,2012,
514,ComparisonOrientation Depression DifferentialEffects Envy Facebook Happiness LifeSatisfaction NewsFeed PassiveConsumption ReferenceGroups SocialComparison Survey Twitter Wellbeing,Social Comparison in Social Media: A Look at Facebook and Twitter,2014,
515,MicrobloggingData Returns SentimentAnalysis TextMining TradingVolume Volatility,Some Experiments on Modeling Stock Market Behavior Using Investor Sentiment Analysis and Posting Volume from Twitter,2013,
517,Twitter AttitudeChange BehavioralPatterns Incremental Microblogging PersuasiveSystemsDesign SocialInfluence,Incremental Persuasion Through Microblogging: A Survey of Twitter Users in Latvia,2011,
518,Microblog Twitter UserModeling Trends Location,Trend-Aware User Modeling with Location-Aware Trends on Twitter,2012,
519,CollaborativeFiltering Explanation Integration RandomWalk Ranking,A Modified Random Walk Framework for Handling Negative Ratings and Generating Explanations,2013,
521,Microblogging SituationalAwareness,Twitter Communications in Mass Emergency: Contributions to Situational Awareness,2012,
523,SocialMediaMining Real-TimeTwitterTrendMimingSystem TopicModeling NetworkAnalysis KoreanPresidentialElection,RT^2M: Real-Time Twitter Trend Mining System,2013,
524,Twitter MalwarePropagation Analysis,Analysis of Malware Propagation in Twitter,2013,
525,Twitter Content-Based Multi-ViewHybridization RecommendationSystem SocialNetwork,A Multi-view Content-based User Recommendation Scheme for Following Users in Twitter,2012,
527,ThoughtBubble Twitter Classification DataMining RecommenderSystem Social,Thought Bubbles: A Conceptual Prototype for a Twitter Based Recommender System for Research 2.0,2012,
528,Tags TwitterLists UserModel,A Multi-faceted User Model for Twitter,2012,
529,ContentCuration NetworkAnalysis SocialMediaMonitoring SocialNetworkDiscovery,A System for Twitter User List Curation,2012,
531,SignalAnalysis TrafficEventsSearch Wavelet,A Search and Summary Application for Traffic Events Detection Based on Twitter Data,2014,
533,Celebrities MaliciousUsers Non-MaliciousUsers OnlineSocialNetworks(OSNs) Twitter,Detecting Malicious Users in Twitter Using Classifiers,2014,
534,StockMarket SentimentAnalysis Twitter Microblogging SocialNetworkAnalysis,Analyzing Stock Market Movements Using Twitter Sentiment Analysis,2012,
535,DataPipeline DiseaseSurveillance SocialMediaGeostreams SpatiotemporalAnalysis,Spatiotemporal Transformation of Social Media Geostreams: A Case Study of Twitter for Flu Risk Analysis,2013,
536,ExpertsAnalysis InterestAnalysis TwitterAnalytics,Peckalytics: Analyzing Experts and Interests on Twitter,2013,
537,Demographics Gender Metadata SocialMedia Time Twitter N-GramCorpus,Twitter N-gram Corpus with Demographic Metadata,2013,
538,FriendRecommendation MicroBlogs SocialNetworkDistance TopicalProximity,An Analysis of Topical Proximity in the Twitter Social Graph,2012,
539,Twitter ConsumerBehavior DailyDealService ElectronicCommerce ElectronicWord-Of-Mouth(eWOM) Microblogging OnlineSocialNetworking SocialMediaMarketing,When Daily Deal Services Meet Twitter: Understanding Twitter As a Daily Deal Marketing Platform,2012,
541,Twitter SocialNetworkServices,Online Social Behavior in Twitter: A Literature Review,2012,
542,OnlineSocialNetworks Twitter DigitalForensics CloudComputing SocialNetworkForensicAnalysis,Moments in Time: A Forensic View of Twitter,2013,
543,Twitter-LikeService Lda UserModeling DataSelection,Data Selection for User Topic Model in Twitter-Like Service,2011,
544,Twitter SocialBots FeatureSelection Interaction Replies,Which Users Reply to and Interact with Twitter Social Bots?,2013,
545,InformationCredibility LatentDirichletAllocation TopicModel Twitter SentimentAnalysis,Topic and Opinion Classification Based Information Credibility Analysis on Twitter,2013,
