164,"crowdsourcing, event detection, mechanical turk, reproducibility, social media, test collection, twitter corpus",Building a Large-scale Corpus for Evaluating Event Detection on Twitter,2013,1
165,"machine learning, social network security, spam detection",Spam Detection on Twitter Using Traditional Classifiers,2011,1
166,"Figurative language processing, Irony detection, Negation, Web text analysis",A Multidimensional Approach for Detecting Irony in Twitter,2013,1
168,"#hashtag, Twitter, opinion summarization, sentiment analysis, topic analysis",Entity-centric Topic-oriented Opinion Summarization in Twitter,2012,1
172,"Communication privacy management, Followers/followed, Front/back-stage, Mediated disclosure, Self-disclosure, Twitter","Mediated Disclosure on Twitter: The Roles of Gender and Identity in Boundary Impermeability, Valence, Disclosure, and Stage",2013,1
174,"big data, information storage and retrieval, social networks",Seeder Finder: Identifying Additional Needles in the Twitter Haystack,2013,1
177,"Attraction, Bot, CASA, Communication competence, Credibility, Twitter",Is That a Bot Running the Social Media Feed? Testing the Differences in Perceptions of Communication Quality for a Human Agent and a Bot Agent on Twitter,2014,1
178,"group dynamics, information overload, mixed methods, online communities, ostracism, speech codes theory, twitter chats",On Participation in Group Chats on Twitter,2013,1
179,"Twitter,Social network services,Identification,Electronic mail,Blogs,social networks,Automatic identification,bot,cyborg,Twitter","Detecting Automation of Twitter Accounts: Are You a Human, Bot, or Cyborg?",2012,1
184,"twitter, pagerank, amazon, data mining, web crawl",Mining Twitter in the Cloud: A Case Study,2010,1
186,"influence, twitter, user classification, web science",Identifying Communicator Roles in Twitter,2012,1
187,"Twitter, Data Mining, Credibility",Credibility in Context: An Analysis of Feature Distributions in Twitter,2012,1
190,"Online documents, Group interaction: analysis of verbal and non-verbal communication, Pattern recognition systems and applications",A Study on Detecting Patterns in Twitter Intra-topic User and Message Clustering,2010,1
191,"Brand trust, Self-brand personality match, Social media brand, Trust transfer, Twitter",Antecedents and Consequences of Trust in a Social Media Brand: A Cross-cultural Study of Twitter,2013,1
192,"semantic enrichment, service, twitter, user modeling",TUMS: Twitter-based User Modeling Service,2012,1
205,"LDA, data mining, public health, social media, social networks, tobacco use, topic modeling",Identifying Health-related Topics on Twitter: An Exploration of Tobacco-related Tweets As a Test Topic,2011,1
212,"event detection, text mining",STED: Semi-supervised Targeted-interest Event Detectionin in Twitter,2013,1
217,"identity-based groups, seekers of topical information, topical experts, topical groups, twitter",Deep Twitter Diving: Exploring Topical Groups in Microblogs at Scale,2014,1
219,"events, real-time, summarization, twitter",Towards Real-time Summarization of Scheduled Events from Twitter Streams,2012,1
223,"Twitter sentiment analysis, emotion token, metwork informal language, multilingual sentiment analysis, sentiment lexicon",Emotion Tokens: Bridging the Gap Among Multilingual Twitter Sentiment Analysis,2011,1
231,"social network service, crowdsourcing, opportunity discovery, local event detection",EventRadar: A Real-Time Local Event Detection Scheme Using Twitter Stream,2012,1
232,"genre analysis, microblogging, tweet",Information Interaction in 140 Characters or Less: Genres on Twitter,2010,1
234,"Graphical model, Location-time constrained topic, Social event detection, Social streams, Variable dimensional extendible hash",Event Detection over Twitter Social Media Streams,2014,1
239,"gender studies, tagging, twitter",A Gender Based Study of Tagging Behavior in Twitter,2012,1
241,"chi-square, event extraction, sentiment, timeline, twitter",Extracting Social Events Based on Timeline and Sentiment Analysis in Twitter Corpus,2012,1
243,"Twitter, meta-level features, sentiment classification","Combining Strengths, Emotions and Polarities for Boosting Twitter Sentiment Analysis",2013,1
249,"large-scale machine learning, social media, text classification, topic modeling",Large-scale High-precision Topic Modeling on Twitter,2014,1
250,"microblogs, question identification, twitter",Question Identification on Twitter,2011,1
253,"cursing., emotion, gender difference, profanity, social media, twitter",Cursing in English on Twitter,2014,1
255,"Gaussian mixture, HDP, event detection, twitter",Real Time Event Detection in Twitter,2013,1
260,"political discourse, sentiment analysis, social media",GOP Primary Season on Twitter: Popular Political Sentiment in Social Media,2013,1
261,"big data, geospatial analysis, retweet network, twitter visualization",Understanding Twitter Data with TweetXplorer,2013,1
262,"Twitter, hashtag, interestingness, ranking",What Do People Want in Microblogs? Measuring Interestingness of Hashtags in Twitter,2010,1
264,"hashtag prediction, microposts, short-text classification, topic models, twitter",Using Topic Models for Twitter Hashtag Recommendation,2013,1
267,"Bayesian network, emergency situation, information credibility, sequential k-means, twitter",Information Credibility on Twitter in Emergency Situation,2012,1
268,"Microblog, Twitter, location-based estimation, spatial data mining, text mining",A Content-driven Framework for Geolocating Microblog Users,2013,1
270,"relation learning, semantic enrichment, social web, twitter",Learning Semantic Relationships Between Entities in Twitter,2011,1
274,"Classification, Data sparsity, SentiWordNet, Sentiment analysis, Social network analysis, Twitter",TOM: Twitter Opinion Mining Framework Using Hybrid Classification Scheme,2014,1
275,"social spam, campaign detect, similarity measure",Detecting Spam and Promoting Campaigns in the Twitter Social Network,2012,1
276,"natural language processing, public health, social media",Estimating County Health Statistics with Twitter,2014,1
282,"information extraction, microblogging, semantic annotation",Extracting Semantic Annotations from Twitter,2011,1
287,"Clustering, Data stream, Spam detection, Twitter",Twitter Spammer Detection Using Data Stream Clustering,2014,1
291,"linguistics, lobbying, political communication, politics, speech acts, twitter",Tweet Acts: How Constituents Lobby Congress via Twitter,2014,1
293,"Opinion Mining, PageRank, Polarity classification, SentiWordNet, Sentiment Analysis, Twitter, Unsupervised method",Ranked WordNet Graph for Sentiment Polarity Classification in Twitter,2014,1
301,"Self-Disclosure, Twitter, Linguistic Markers, Social Network Sites",Linguistic Markers of Secrets and Sensitive Self-Disclosure in Twitter,2012,1
302,"event detection, event visualization, social media",An Interactive Interface for Visualizing Events on Twitter,2014,1
303,"Twitter, hits, social network, tweet ranking",Finding Interesting Posts in Twitter Based on Retweet Graph Analysis,2012,1
309,"sentiment analysis, opinion mining, social media analytics, text mining, machine learning",Twitter Sentiment Analysis: A Bootstrap Ensemble Framework,2013,1
311,"Sentiment Analysis, Sentiment Summarization, Opinion Mining",Sentiment Analysis and Summarization of Twitter Data,2013,1
315,"event detection, query expansion, semantic web, twitter",Event Detection Using Twitter and Structured Semantic Query Expansion,2012,1
318,"rumor spreading, agent-based modeling, social network",Rumor Propagation in Online Social Networks Like Twitter -- A Simulation Study,2011,1
327,"Interesting content, LDA, Social media, Topic model, Twitter",Identifying Interesting Twitter Contents Using Topical Analysis,2014,1
329,"large-scale data collection, microblogs, public belief analysis",Belief Surveillance with Twitter,2012,1
334,"Credibility, Trust, Social Networks, Twitter",Understanding Information Credibility on Twitter,2013,1
336,"location estimation, microblog, text mining",Inferring Twitter User Locations with 10 Km Accuracy,2014,1
